text,title
CREATE/LC-2/GRP-1/QT-9,"Refrigerator, Produce, Bag"
CREATE/LC-2/GRP-1/QT-19,"Refrigerator, Produce, Box"
CREATE/LC-2/GRP-1/QT-5,"Refrigerator, Produce, Bunch"
CREATE/LC-2/GRP-1/QT-14,"Refrigerator, Produce, Item"
CREATE/LC-2/GRP-1/QT-17,"Refrigerator, Produce, Lb"
CREATE/LC-2/GRP-1/QT-18,"Refrigerator, Produce, Oz"
CREATE/LC-2/GRP-1/QT-7,"Refrigerator, Produce, Serving"
CREATE/LC-2/GRP-5/QT-19,"Refrigerator, Cold Goods, Box"
CREATE/LC-2/GRP-5/QT-6,"Refrigerator, Cold Goods, Carton"
CREATE/LC-2/GRP-5/QT-12,"Refrigerator, Cold Goods, Cup"
CREATE/LC-2/GRP-5/QT-11,"Refrigerator, Cold Goods, Gallon"
CREATE/LC-2/GRP-5/QT-18,"Refrigerator, Cold Goods, Oz"
CREATE/LC-2/GRP-5/QT-15,"Refrigerator, Cold Goods, Fl Oz"
CREATE/LC-2/GRP-5/QT-24,"Refrigerator, Cold Goods, Tub"
CREATE/LC-2/GRP-16/QT-19,"Refrigerator, Spices, Box"
CREATE/LC-2/GRP-16/QT-14,"Refrigerator, Spices, Item"
CREATE/LC-2/GRP-14/QT-7,"Refrigerator, Surplus, Serving"
CREATE/LC-11/GRP-13/QT-9,"Refrigerator Freezer, Frozen Foods, Bag"
CREATE/LC-11/GRP-13/QT-19,"Refrigerator Freezer, Frozen Foods, Box"
CREATE/LC-11/GRP-13/QT-14,"Refrigerator Freezer, Frozen Foods, Item"
ST-9,Albertsons
ST-3,Costco
ST-11,Farm
ST-5,Grocery Outlet
ST-6,Grove.com
ST-10,Lowe's
ST-7,Nespresso.com
ST-8,Petco
ST-4,Roths
ST-2,Safeway
ST-1,Winco
ST-12,Wilco Farm Store
ST-13,Wal-Mart
GRP-4,Baked Goods
GRP-15,Baking & Cooking
GRP-6,Beverages
GRP-3,Canned Goods
GRP-12,Condiments
GRP-9,Dry Goods
GRP-13,Frozen Foods
GRP-11,Household
GRP-2,Meats
GRP-10,Pets
GRP-1,Produce
GRP-5,Refrigerated Goods
GRP-8,Snacks
GRP-16,Spices
GRP-14,Surplus
GRP-7,Sweets
QT-9,Bag
QT-8,Bottle
QT-19,Box
QT-5,Bunch
QT-4,Can
QT-6,Carton
QT-12,Cup
QT-11,Gallon
QT-14,Item
QT-10,Jar
QT-17,Lb
QT-16,Liter
QT-18,Ounce-Wt
QT-3,Pack
QT-7,Serving
QT-23,Sprig
LC-7,Chest Freezer
LC-9,Countertop
LC-4,Cupboard
LC-5,Garage Refrigerator
LC-12,Garage Refrigerator Freezer
LC-8,Garage Storage
LC-10,Hanging Produce
LC-6,Meat Freezer
LC-3,Pantry
LC-2,Refrigerator
LC-11,Refrigerator Freezer
LC-13,Spice Cabinet

